Gene,Description,Compartment,Treated_v_Control_FC,Treated_v_Control_pval,Treated_v_Control_adjpval
TOMM20,"mitochondrial protein, org=Homo sapiens",Mitochondrion,-1.5948,2.184921e-1,3.899244e-1
TOMM22,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.8691,6.505496e-4,4.072368e-3
TOMM40,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.1761,1.650635e-1,3.201901e-1
TOMM70,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.4645,2.789347e-2,8.026935e-2
TIMM23,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.2598,8.427457e-1,9.085363e-1
TIMM44,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.0379,3.075565e-6,6.860877e-5
TIMM50,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.5108,1.511735e-1,2.981209e-1
MICOS10,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.8991,2.642811e-1,4.442987e-1
MICOS13,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.4267,1.747423e-4,1.407647e-3
IMMT,"mitochondrial protein, org=Homo sapiens",Mitochondrion,72.3903,4.477599e-4,3.053256e-3
CHCHD3,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.1070,7.513705e-1,8.525984e-1
CHCHD6,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.9454,6.883239e-4,4.202399e-3
SDHA,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.9454,2.696441e-4,1.979666e-3
SDHB,"mitochondrial protein, org=Homo sapiens",Mitochondrion,7.1365,4.882081e-5,5.552170e-4
SDHC,"mitochondrial protein, org=Homo sapiens",Mitochondrion,-1.1302,7.838042e-1,8.793162e-1
NDUFA4,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.1164,1.706022e-1,3.254911e-1
NDUFA9,"mitochondrial protein, org=Homo sapiens",Mitochondrion,8.4431,6.116031e-4,3.941442e-3
NDUFS1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.2255,3.187637e-3,1.379723e-2
NDUFS3,"mitochondrial protein, org=Homo sapiens",Mitochondrion,11.4921,9.298002e-7,2.718363e-5
NDUFV1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,7.0760,2.027223e-5,2.965055e-4
UQCRC1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.1589,1.834270e-2,5.781939e-2
UQCRC2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,30.9960,3.386800e-6,7.275348e-5
UQCRFS1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,10.2262,1.524694e-3,7.825862e-3
COX4I1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,43.3581,6.155082e-9,7.139896e-7
COX5A,"mitochondrial protein, org=Homo sapiens",Mitochondrion,57.3577,1.978760e-6,4.590724e-5
COX6C,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.5517,5.126554e-3,2.036576e-2
ATP5F1A,"mitochondrial protein, org=Homo sapiens",Mitochondrion,15.2343,2.188267e-2,6.576139e-2
ATP5F1B,"mitochondrial protein, org=Homo sapiens",Mitochondrion,21.0715,1.884447e-6,4.554080e-5
ATP5F1C,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.6520,4.795865e-2,1.236267e-1
ATP5MC1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,159.1699,9.441841e-12,2.738134e-9
ATP5PB,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.6990,1.140368e-3,6.299174e-3
VDAC1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,8.2716,1.111968e-2,3.934159e-2
VDAC2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.3461,3.484079e-2,9.668735e-2
VDAC3,"mitochondrial protein, org=Homo sapiens",Mitochondrion,11.7862,1.048135e-4,9.965875e-4
SLC25A3,"mitochondrial protein, org=Homo sapiens",Mitochondrion,8.9877,3.802875e-6,7.877384e-5
SLC25A4,"mitochondrial protein, org=Homo sapiens",Mitochondrion,25.4519,5.954472e-8,3.453594e-6
SLC25A5,"mitochondrial protein, org=Homo sapiens",Mitochondrion,10.8792,5.224635e-3,2.061421e-2
SLC25A6,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.4078,3.160511e-1,4.927679e-1
SLC25A11,"mitochondrial protein, org=Homo sapiens",Mitochondrion,10.3034,1.136062e-5,1.882617e-4
HSPD1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,11.4381,5.101429e-5,5.582696e-4
HSPE1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,9.6636,2.691795e-3,1.213761e-2
HSPA9,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.3768,2.767245e-5,3.647732e-4
LONP1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.5893,7.352893e-2,1.734815e-1
CLPP,"mitochondrial protein, org=Homo sapiens",Mitochondrion,7.4062,1.239854e-3,6.716325e-3
CLPX,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.0267,7.382474e-4,4.414263e-3
PMPCA,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.6003,9.549439e-2,2.066670e-1
PMPCB,"mitochondrial protein, org=Homo sapiens",Mitochondrion,8.0977,1.938010e-4,1.518981e-3
AFG3L2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.1267,1.608374e-3,7.973135e-3
SPG7,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.0230,1.731184e-2,5.547440e-2
YME1L1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.1117,4.809386e-4,3.206257e-3
MRPL12,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.7309,4.441576e-1,6.075741e-1
MRPL13,"mitochondrial protein, org=Homo sapiens",Mitochondrion,9.6330,4.154433e-4,2.903098e-3
MRPS12,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.1296,1.294690e-3,6.889178e-3
MRPS22,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.1133,7.592282e-1,8.583866e-1
TFAM,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.1567,4.553929e-5,5.282557e-4
POLG,"mitochondrial protein, org=Homo sapiens",Mitochondrion,18.8846,1.166116e-4,1.056793e-3
SSBP1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.8196,1.639882e-2,5.284063e-2
OPA1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,-1.0134,9.782193e-1,9.901696e-1
MFN1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,36.9651,3.456396e-8,2.427588e-6
MFN2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,22.2636,1.055284e-6,2.914594e-5
DNM1L,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.4315,1.553638e-1,3.044291e-1
FIS1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,15.9685,2.585891e-4,1.947814e-3
